author,count
Lynn Painter,2
Sharon McMahon,2
Ina Garten,2
Malcolm Gladwell,2
Liz Cheney,2
Jonathan Haidt,2
Sally Rooney,2
Marcus Kliewer,2
Lisa Marie Presley,2
Whoopi Goldberg,2
Stephen Graham Jones,2
Monika Kim,2
Douglas Preston,2
Cebo Campbell,2
Frances   White,2
Gareth  Brown,2
Kaliane Bradley,2
Freida McFadden,2
Ashley Elston,2
Amy Tintera,2
Kristin Hannah,2
Vanessa  Chan,2
Kate Quinn,2
Percival Everett,2
T.J. Klune,2
Ann Liang,2
T. Kingfisher,2
Yulin Kuang,2
Emily Henry,2
Ali Hazelwood,2
Abby Jimenez,2
Richard Osman,2
Kaveh Akbar,2
Rebecca K. Reilly,2
Hwang Bo-Reum,2
Liane Moriarty,2
Ben Macintyre,1
Elin Hilderbrand,1
Maureen Callahan,1
Catherine Newman,1
Danzy Senna,1
Louise Erdrich,1
Beatriz Williams,1
Jodi Picoult,1
Sara Goodman Confino,1
Elif Shafak,1
Tommy Orange,1
Elizabeth Strout,1
Rachel Khong,1
Chelsea Devantez,1
Kelly  Bishop,1
Drew Afualo,1
Patric Gagne,1
Hanif Abdurraqib,1
Simone Gorrindo,1
Elizabeth Camarillo Gutierrez,1
RuPaul,1
Yuval Noah Harari,1
Hampton Sides,1
George  Stephanopoulos,1
Adam Higginbotham,1
Rebecca Nagle,1
Julie Satow,1
Garrett M. Graff,1
Lucy Foley,1
Jeneva Rose,1
Rachel Hawkins,1
Riley Sager,1
Chris  Whitaker,1
Emiko Jean,1
Liz    Moore,1
Kirsty Greenwood,1
Brynne Weaver,1
Kennedy Ryan,1
Tia Williams,1
Kevin Kwan,1
Elsie Silver,1
Liz Tomforde,1
Christina Lauren,1
Ana Huang,1
Hannah  Grace,1
Katherine Center,1
Laura Dave,1
Lauren Ling Brown,1
Raven Kennedy,1
Kate  Golden,1
Abigail Owen,1
Sarah Beth Durst,1
Danielle L. Jensen,1
Stacia Stark,1
Nisha J. Tuli,1
Sarah J. Maas,1
Jasmine Mas,1
Allison Saft,1
Sydney J. Shields,1
Carley Fortune,1
Casey McQuiston,1
Lyla Sage,1
Laurie Gilmore,1
Leigh Bardugo,1
Deborah Harkness,1
Mai Corland,1
Lev Grossman,1
Scarlett St.  Clair,1
Colm Tóibín,1
Silvia Moreno-Garcia,1
Cristina Henríquez,1
Lisa Wingate,1
Kristen Perrin,1
Sarah Pekkanen,1
Jason Rekulak,1
Sally Hepworth,1
Nita Prose,1
Hannah Nicole Maehrer,1
Jennifer L. Armentrout,1
Callie Hart,1
Caroline Peckham,1
Kaylie Smith,1
Saara El-Arifi,1
Sarah A. Parker,1
Holly Renee,1
Waubgeshig Rice,1
Jasper Fforde,1
Veronica Roth,1
Heather Fawcett,1
Alexis Henderson,1
P. Djèlí Clark,1
Yangsze Choo,1
Meg Shaffer,1
K.X. Song,1
Jay Kristoff,1
Rose Sutherland,1
Katherine Arden,1
Robert Jackson Bennett,1
Martin MacInnes,1
Gabrielle  Korn,1
Leif Enger,1
Scott Alexander Howard,1
Jason Pargin,1
John Marrs,1
Kira Peikoff,1
Adrian Tchaikovsky,1
Marie-Helene Bertino,1
Sierra Greer,1
Samantha Harvey,1
Yume Kitasei,1
James S.A. Corey,1
Jeff VanderMeer,1
C.J.  Cooke,1
Mariana Enríquez,1
Jennifer Marie Thorne,1
Josh Malerman,1
Chuck Tingle,1
Nick Medina,1
Stephen        King,1
Johanna van Veen,1
Kay Chronister,1
Rachel   Harrison,1
Stuart Neville,1
Simone St. James,1
J.H. Markert,1
Rae Giana Rashad,1
Cara Bastone,1
Ramani Durvasula,1
O.O. Sangoyomi,1
Elba Iris Pérez,1
Betsy Lerner,1
Morgan Talty,1
Andrew Boryga,1
Ferdia  Lennon,1
Eve J. Chung,1
Danica Nava,1
Ashton Lattimore,1
Del Sandeen,1
Gabino Iglesias,1
Amber Chen,1
Adalyn  Grace,1
Kelly Andrew,1
Emily Varga,1
Rebecca   Ross,1
Brandon Sanderson,1
C.G. Drews,1
Kristen Ciccarelli,1
Alison Espach,1
Richard Powers,1
Natalie Sue,1
Miranda July,1
Coco Mellors,1
Dolly Alderton,1
Claire Lombardo,1
Yasmin Angoe,1
Lynda Cohen Loigman,1
Elizabeth Gonzalez James,1
Ariel Lawhon,1
Xóchitl González,1
Ruth Reichl,1
Marjan Kamali,1
Madeline  Martin,1
A.B. Poranek,1
Tahereh Mafi,1
George Orwell,1
Tillie Cole,1
Faridah Àbíké-Íyímídé,1
Jandy Nelson,1
June Hur,1
Laura Nowlin,1
Lauren  Roberts,1
Holly Black,1
Krystal Sutherland,1
Isabel Ibañez,1
Sabaa Tahir,1
Kamilah Cole,1
Bethany Baptiste,1
Makiia Lucier,1
Tigest Girma,1
Tricia Levenseller,1
Karen Tang,1
Oliver Burkeman,1
Dan Slepian,1
Rebecca Little,1
Jennifer Lynn Barnes,1
Kristy Boyce,1
Jas Hammonds,1
Alice Oseman,1
Holly  Jackson,1
K. Ancrum,1
Gabe Cole Novoa,1
Diana Urban,1
Trinity  Nguyen,1
Maureen Johnson,1
Megan Lally,1
Lex Croucher,1
Griffin Dunne,1
Susan Lieu,1
Kate Kennedy,1
Ashley  Spencer,1
Charles Duhigg,1
Gillian Anderson,1
Jen Gunter,1
Amy Tan,1
Johanna Hedva,1
Ali  Abdaal,1
Ta-Nehisi Coates,1
John Grisham,1
Annie Jacobsen,1
Tim Alberta,1
Valerie Bauerlein,1
Elizabeth Comen,1
Rufi Thorpe,1
Jeremy Dauber,1
Stephanie Kiser,1
Amy  Lin,1
Salman Rushdie,1
Sloane Crosley,1
Doris Kearns Goodwin,1
Tia  Levings,1
Kathleen Sheppard,1
Jonathan Blitzer,1
Evan Friss,1
Abbott Kahler,1
Katie Gee Salisbury,1
Antonia Hylton,1
Erik Larson,1
Dava Sobel,1
